lat,lng
-35.4003338,149.1557231
-35.35530926,149.0359161
-35.35548032,149.0361453
-35.35540636,149.0356882
-35.35592448,149.0363468
-35.35558954,149.0356377
-35.35601714,149.03626
-35.35567098,149.0359573
-35.35570318,149.0358063
-35.35448443,149.0365388
-35.35487131,149.0366759
-35.35481014,149.0363853
-35.35503177,149.0365576
-35.35499608,149.0362219
-35.3551797,149.0364216
-35.35516578,149.0360659
-35.35533001,149.0362835
-35.35896875,149.0365122
-35.35988483,149.0362813
-35.35996508,149.0357568
-35.35992878,149.0353669
-35.36020584,149.0362398
-35.35988928,149.0349427
-35.36049696,149.036016
-35.35982809,149.0345064
-35.36023641,149.0359151
-35.3596251,149.0341151
-35.36020464,149.0355739
-35.35938916,149.0339163
-35.36017517,149.0352574
-35.35911845,149.0338276
-35.36014957,149.0349825
-35.35884529,149.0338514
-35.36012677,149.0347376
-35.35859318,149.0339819
-35.35918691,149.0365737
-35.35838844,149.0342064
-35.3582203,149.0344643
-35.3594774,149.0336236
-35.35910168,149.0361614
-35.35858355,149.0336346
-35.35812651,149.0341084
-35.35919053,149.0370744
-35.3579884,149.0343202
-35.35933199,149.0362264
-35.35928122,149.0371192
-35.35952217,149.0362801
-35.35953696,149.0366725
-35.36028231,149.042917
-35.36069476,149.042697
-35.36127484,149.0430832
-35.36125014,149.042761
-35.36155474,149.0431682
-35.36148784,149.0427892
-35.36150642,149.0435265
-35.36170675,149.0427795
-35.36177151,149.0433848
-35.36189289,149.0436285
-35.35987625,149.0440012
-35.36197044,149.0439013
-35.3620975,149.0434321
-35.36199888,149.0442003
-35.36216924,149.0436288
-35.36197258,149.0444887
-35.3622208,149.0438418
-35.3617385,149.0448151
-35.36224879,149.0440629
-35.35963769,149.0438383
-35.36225215,149.0443434
-35.36223841,149.044464
-35.36217069,149.0447195
-35.36207064,149.0448973
-35.3600703,149.043721
-35.3605314,149.0457027
-35.36138104,149.0453462
-35.36119483,149.0454457
-35.36101113,149.0455439
-35.35975811,149.0437005
-35.36086887,149.0456493
-35.3599759,149.043197
-35.35937612,149.0429554
-35.35978316,149.0430259
-35.35965607,149.0432642
-35.35963914,149.0428981
-35.35947309,149.0432229
-35.35948189,149.0428469
-35.35937577,149.0431165
-35.36282753,149.047372
-35.36263385,149.0472169
-35.36307817,149.0470781
-35.36281898,149.0468671
-35.36302086,149.0468526
-35.36037153,149.0444052
-35.36037153,149.0444052
-35.36083009,149.0452186
-35.36062152,149.0453588
-35.36076232,149.0449385
-35.36056473,149.0451219
